duration,switch_count,switch_rate,active_ratio,label
0.06841666666666667,1,14.616321559074299,0.6666666666666667,1
0.030100000000000002,1,33.222591362126245,0.6666666666666667,1
0.12936666666666669,1,7.729966503478484,0.6666666666666667,1
0.034416666666666665,1,29.055690072639226,0.6666666666666667,1
0.1749,0,0.0,1.0,0
0.62705,0,0.0,1.0,0
0.056100000000000004,0,0.0,1.0,0
0.04378333333333333,0,0.0,1.0,0
0.024116666666666668,0,0.0,1.0,0
0.0197,0,0.0,1.0,0
0.021,1,47.61904761904761,0.6666666666666667,1
0.15735000000000002,1,6.355258976803304,0.6666666666666667,1
0.016283333333333334,0,0.0,1.0,0
0.03961666666666666,1,25.241901556583933,0.6666666666666667,1
0.01145,1,87.33624454148472,0.6666666666666667,1
0.04616666666666667,1,21.660649819494584,0.6666666666666667,1
